TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  8.0000E+00  2.6000E+01  0.0000E+00  5.0674E-01  0.0000E+00  0.0000E+00
  8.0000E+00  0.0000E+00  1.6920E+00  3.5379E+00 -1.8459E+00 -3.7519E-01
  8.0000E+00  0.0000E+00  4.6490E+00  6.4182E+00 -1.7692E+00  4.4200E-02
  8.0000E+00  0.0000E+00  5.0660E+00  8.3295E+00 -3.2635E+00 -1.8946E-01
  8.0000E+00  0.0000E+00  7.5310E+00  1.1411E+01 -3.8802E+00 -1.6893E-01
  8.0000E+00  0.0000E+00  1.0923E+01  1.1334E+01 -4.1068E-01  3.3234E-01
  8.0000E+00  0.0000E+00  7.9650E+00  8.9210E+00 -9.5604E-01  1.1768E-01
  8.0000E+00  0.0000E+00  5.3140E+00  6.6990E+00 -1.3850E+00 -1.4485E-01
  8.0000E+00  0.0000E+00  3.5460E+00  2.9148E+00  6.3116E-01  5.4025E-01
  8.0000E+00  0.0000E+00  2.5970E+00  2.6728E+00 -7.5770E-02  5.2560E-02
  8.0000E+00  0.0000E+00  2.5020E+00  2.4646E+00  3.7413E-02  1.1379E-01
  8.0000E+00  0.0000E+00  1.2100E+00  2.1116E+00 -9.0159E-01 -7.7551E-01
  8.0000E+00  0.0000E+00  2.1470E+00  1.8013E+00  3.4573E-01  3.3191E-01
  8.0000E+00  0.0000E+00  1.2490E+00  1.4267E+00 -1.7770E-01 -3.3176E-01
  8.0000E+00  2.6000E+01  0.0000E+00  6.0374E-01  0.0000E+00  0.0000E+00
  8.0000E+00  2.6000E+01  0.0000E+00  6.2342E-01  0.0000E+00  0.0000E+00
  8.0000E+00  2.6000E+01  0.0000E+00  6.2756E-01  0.0000E+00  0.0000E+00
  8.0000E+00  2.5000E+01  0.0000E+00  6.2479E-01  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  2.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  2.6000E+00  3.1714E+00 -5.7143E-01 -3.0444E-01
  9.0000E+00  0.0000E+00  5.9530E+00  5.6852E+00  2.6781E-01  8.3982E-02
  9.0000E+00  0.0000E+00  9.7290E+00  7.5235E+00  2.2055E+00  5.2550E-01
  9.0000E+00  0.0000E+00  1.2946E+01  1.0488E+01  2.4577E+00  4.8311E-01
  9.0000E+00  0.0000E+00  9.3270E+00  1.0417E+01 -1.0898E+00 -8.1327E-02
  9.0000E+00  0.0000E+00  7.1340E+00  8.0762E+00 -9.4219E-01 -6.2296E-02
  9.0000E+00  0.0000E+00  8.1400E+00  5.9485E+00  2.1915E+00  8.2391E-01
  9.0000E+00  0.0000E+00  3.3570E+00  2.3522E+00  1.0048E+00  1.7823E-01
  9.0000E+00  0.0000E+00  4.0760E+00  2.1541E+00  1.9219E+00  1.0670E+00
  9.0000E+00  0.0000E+00  3.8440E+00  1.9920E+00  1.8520E+00  1.1864E+00
  9.0000E+00  0.0000E+00  3.1760E+00  1.7034E+00  1.4726E+00  1.1559E+00
  9.0000E+00  0.0000E+00  1.7580E+00  1.4566E+00  3.0137E-01 -1.8255E-02
  9.0000E+00  0.0000E+00  2.0170E+00  1.1519E+00  8.6515E-01  1.1390E+00
  9.0000E+00  0.0000E+00  6.6900E-01  4.8807E-01  1.8093E-01  7.6609E-01
  9.0000E+00  2.4000E+01  0.0000E+00  4.8794E-01  0.0000E+00  0.0000E+00
  9.0000E+00  0.0000E+00  1.9560E+00  3.5320E+00 -1.5760E+00 -7.4441E-01
  9.0000E+00  0.0000E+00  6.1410E+00  5.9447E+00  1.9634E-01  8.1852E-02
  9.0000E+00  0.0000E+00  7.5440E+00  7.7089E+00 -1.6490E-01 -9.0441E-03
  9.0000E+00  0.0000E+00  9.0820E+00  1.0553E+01 -1.4715E+00 -1.9997E-01
  9.0000E+00  0.0000E+00  6.6160E+00  1.0482E+01 -3.8658E+00 -5.9349E-01
  9.0000E+00  0.0000E+00  4.6260E+00  8.2546E+00 -3.6286E+00 -6.8190E-01
  9.0000E+00  0.0000E+00  4.8120E+00  6.2033E+00 -1.3913E+00 -2.6826E-01
  9.0000E+00  0.0000E+00  3.1980E+00  2.7093E+00  4.8872E-01 -1.0178E-01
  9.0000E+00  0.0000E+00  1.9090E+00  2.4852E+00 -5.7623E-01 -8.7690E-01
  9.0000E+00  0.0000E+00  2.1740E+00  2.2982E+00 -1.2417E-01 -4.9252E-01
  9.0000E+00  0.0000E+00  2.7740E+00  1.9593E+00  8.1466E-01  4.9328E-01
  9.0000E+00  0.0000E+00  1.0620E+00  1.6805E+00 -6.1851E-01 -8.7800E-01
  9.0000E+00  0.0000E+00  1.3430E+00  1.3317E+00  1.1294E-02 -3.6512E-02
  1.0000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  3.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+01  0.0000E+00  3.3100E+00  4.1863E+00 -8.7628E-01 -5.9658E-02
  1.0000E+01  0.0000E+00  5.6190E+00  7.5045E+00 -1.8855E+00 -1.6078E-01
  1.0000E+01  0.0000E+00  5.3370E+00  9.9310E+00 -4.5940E+00 -5.4943E-01
  1.0000E+01  0.0000E+00  1.3621E+01  1.3845E+01 -2.2350E-01  2.1715E-01
  1.0000E+01  0.0000E+00  1.1074E+01  1.3750E+01 -2.6762E+00 -1.1956E-01
  1.0000E+01  0.0000E+00  6.9780E+00  1.0692E+01 -3.7141E+00 -4.0543E-01
  1.0000E+01  0.0000E+00  5.5060E+00  7.8759E+00 -2.3699E+00 -3.1287E-01
  1.0000E+01  0.0000E+00  3.2230E+00  3.1048E+00  1.1816E-01  1.2824E-01
  1.0000E+01  0.0000E+00  3.3140E+00  2.8435E+00  4.7052E-01  3.7734E-01
  1.0000E+01  0.0000E+00  2.1100E+00  2.6294E+00 -5.1944E-01 -2.9643E-01
  1.0000E+01  0.0000E+00  1.9800E+00  2.2485E+00 -2.6851E-01 -1.1495E-01
  1.0000E+01  0.0000E+00  1.2680E+00  1.9228E+00 -6.5476E-01 -5.0089E-01
  1.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1000E+01  5.8000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1000E+01  0.0000E+00  1.6390E+00  1.0475E+01 -8.8355E+00 -7.6607E-01
  1.1000E+01  0.0000E+00  2.9220E+00  1.3190E+01 -1.0268E+01 -7.0683E-01
  1.1000E+01  0.0000E+00  4.8810E+00  1.7455E+01 -1.2574E+01 -6.8157E-01
  1.1000E+01  0.0000E+00  1.7105E+01  2.4333E+01 -7.2278E+00 -4.5503E-02
  1.1000E+01  0.0000E+00  1.8715E+01  2.4167E+01 -5.4520E+00 -1.4405E-02
  1.1000E+01  0.0000E+00  1.0274E+01  1.8792E+01 -8.5183E+00 -5.2940E-01
  1.1000E+01  0.0000E+00  9.1430E+00  1.3948E+01 -4.8053E+00 -3.7216E-01
  1.1000E+01  0.0000E+00  4.1110E+00  5.4710E+00 -1.3600E+00 -2.2937E-02
  1.1000E+01  0.0000E+00  2.6700E+00  4.9501E+00 -2.2801E+00 -4.3315E-01
  1.1000E+01  0.0000E+00  3.5950E+00  4.6264E+00 -1.0314E+00 -7.4404E-03
  1.1000E+01  0.0000E+00  2.7860E+00  3.9558E+00 -1.1698E+00 -2.1520E-01
  1.1000E+01  0.0000E+00  3.4910E+00  3.3813E+00  1.0973E-01  3.3299E-01
  1.1000E+01  0.0000E+00  2.9920E+00  2.6803E+00  3.1168E-01  3.3882E-01
  1.1000E+01  0.0000E+00  2.8850E+00  1.1349E+00  1.7501E+00  1.7731E+00
  1.1000E+01  5.9000E+01  0.0000E+00  1.1345E+00  0.0000E+00  0.0000E+00
